Title,Abstract,NCT ID
A Randomized Phase I Safety and Immunogenicity Trial of Live Recombinant Canarypox ALVAC HIV vCP205 Delivered by Alternate Mucosal Routes in HIV 1 Uninfected Adult Volunteers,To compare the safety of ALVAC HIV vCP205 to that of ALVAC RG vCP65 rabies glycoprotein delivered by a variety of mucosal routes  To evaluate the antibody  humoral  and cellular  immune responses resulting from ALVAC HIV vCP205   AS PER AMENDMENT 8 3 98  To obtain safety       data on AIDSVAX B B boosting administered by the intramuscular and intranasal routes in the       context of previous immunization via alternate mucosal routes or intramuscularly with a       canarypox vector expressing HIV 1 antigens  vCP205   To obtain immunogenicity data on       AIDSVAX B B boosting   One of the earliest observations in the HIV epidemic was the       demonstration of HIV infection at mucosal surfaces of cells in the genital tract  These data       suggest that priming of immune defenses of viral infected cells may be an important       component in the strategy of developing an effective HIV vaccine  Direct immunization of       relevant mucosal surfaces with a vectored vaccine may stimulate mucosal immunity  The       ALVAC HIV vCP205 immunogen is constructed from a live recombinant canarypox vector that has       a good safety profile in volunteers and should allow mucosal induction of immunity,NCT00000884
A Phase II Trial of Leuprolide   Flutamide   Suramin in Untreated Poor Prognosis Prostate Carcinoma,One current hypothesis as to what limits duration of initial hormone response is the rapid       emergence of hormone resistant prostate carcinoma cells  Suramin has shown effectiveness as       a treatment for hormonally refractory prostate carcinoma  Survival was less in patients with       high rather than low circulating androgen levels  Thus  suramin might slow the emergence of       hormone refractory tumor cells while combined androgen ablation may maximize the       effectiveness of suramin  In this trial  we will pilot this concept,NCT00001266
A Phase I Study of Continuous Infusion Immunotoxin IgG RFB4 SMPT dgA in Refractory CD22 Positive B Cell Lymphoma,Patients with CD22    B cell lymphomas will be treated with escalating doses as a 192 hr       infusion of immunotoxin in a Phase I study to determine dose limiting toxicity evidence of       response,NCT00001271
Familial Prostate Cancer,The purpose of this study is to identify affected individuals in families with prostate       cancer and to use this information to identify genetic markers closely linked to the disease       gene,NCT00001377
A Phase I Study of Recombinant Vaccinia Virus That Expresses Prostate Specific Antigen in Adult Patients With Adenocarcinoma of the Prostate,This trial will evaluate  in patients with metastatic prostate cancer  the tolerability        toxicities  efficacy  and immunologic effects of repeated vaccinations with a recombinant       vaccinia virus that contains the Prostate Specific Antigen gene  PROSTVAC,NCT00001382
A Phase I Study of Infusional Paclitaxel With the P Glycoprotein Antagonist PSC 833,This is a dosage escalation study to estimate the maximum tolerated dose of drug resistance       inhibitor PSC 833 given in combination with paclitaxel  Groups of 3 to 6 patients receive       continuous infusion paclitaxel for 5 days and oral PSC 833 for 6 7 days  following       paclitaxel on the first course  then beginning 3 days prior to paclitaxel on subsequent       courses         Stable and responding patients are re treated every 21 days  with paclitaxel dose adjusted       to maintain an absolute neutrophil count less than 500 for no more than 4 days,NCT00001383
A Randomized Phase II Study of Oral Thalidomide in Patients With Hormone Refractory Prostate Cancer,This is a phase II study designed to evaluate the potential clinical efficacy of thalidomide       in patients with hormone refractory prostate cancer         An important aspect of this study is to characterize the pharmacokinetics of thalidomide  as       well as make correlations between the degree of angiogenesis occurring in a patient and the       activity of thalidomide,NCT00001446
Phase II Trial of a 96 Hour Continuous Infusion of Paclitaxel Followed by Cisplatin for Patients With Stage III IV and Relapsed NSCLC,This is a Phase II study of paclitaxel  Taxol R  administered as a 96 hour  4 day        continuous infusion followed by a bolus of cisplatin for previously untreated patients with       stage III IV or relapsed non small cell lung cancer  NSCLC   The goal of this phase II study       is to determine the response rate of this infusional paclitaxel and bolus cisplatin regimen       in patients with advanced NSCLC,NCT00001450
Phase II Neoadjuvant Trial of a Continuous Infusion of Paclitaxel Plus Cisplatin Followed by Chest Radiotherapy for Patients With Stage III Non Small Cell Lung Cancer,2 Drug Combination Chemotherapy Followed by Radiotherapy  Paclitaxel  TAX  NSC 125973        Cisplatin  CDDP  NSC 119875  followed by chest irradiation using 4 15 MV photons,NCT00001499
A Phase II Trial of All Trans Retinoic Acid in Combination With Interferon Alpha 2a in Children With Recurrent Neuroblastoma or Wilms  Tumor,A body of preclinical data has provided a strong rationale for evaluating the combination of       IFN alpha with retinoic acid  The two drugs have different mechanisms of action and  when       used in combination  show enhanced activity in both adult and pediatric tumor cell lines         The combination of the antiproliferative and differentiation inducing effect of retinoids       together with the antiproliferative  immunostimulatory and differentiation potentiating       effects of IFN alpha warrant clinical investigation of this combination for the treatment of       refractory pediatric malignancies,NCT00001509
Phase I II Multiple Dose Safety and Efficacy Study of a Selective Inhibitor of Cyclooxygenase   2  SC 58635  in Hereditary Non Polyposis Colorectal Cancer  HNPCC  Patients and Carriers,This is a randomized  placebo controlled Phase I II multi center trial  of the safety and       efficacy of Celecoxib in a cohort of 81 HNPCC subjects and gene carriers  The three proposed       intervention arms are  Celecoxib  to be provided by Searle  will be administered at 200mg       p o  BID x 12 months or 400mg p o  BID x 12 months vs  Placebo p o  BID x 12 months        Assessment of endoscopic and tissue based biomarker endpoints will be conducted at baseline       and 12 months on study drug or placebo  Patients that present with polyps at baseline will       undergo a month 4 endoscopy  Plasma drug trough samples for pharmacokinetic analyses will be       collected at baseline and month 12  NCI Chemoprevention Branch will coordinate the efforts       and activities of all sites         Safety monitoring will occur via in patient interviews with exams at month twelve  symptom       questionnaires completed at baseline  months one  four  eight and twelve  blood and       urinalysis at baseline and at months one  four  eight and twelve  A post administration       telephone call to evaluate side effect resolution will occur at months 13 14 for patients       who have unresolved adverse events at the end of month 12,NCT00001693
